map,scenid,total,20move,total-src,20move-src,distance,path_size,hLevel
orz901d,164,1297,332,4819,1004,67.7279,65,0
orz901d,165,1263,402,5681,1442,67.7279,65,0
orz901d,166,1156,389,4504,1464,64.1127,56,0
orz901d,167,721,645,7490,2803,66.799,62,0
orz901d,168,3004,1017,7174,3777,66.2254,49,0
orz901d,169,2616,812,6760,2751,67.3553,58,0
orz901d,170,1308,352,4637,822,69.598,59,0
orz901d,171,1348,456,5740,2064,71.8995,70,0
orz901d,172,2044,948,4991,3317,69.1543,54,0
orz901d,173,764,297,3381,618,71.1421,68,0
orz901d,174,1676,628,3842,1127,69.8995,68,0
orz901d,175,793,421,4578,439,71.3137,69,0
orz901d,176,1111,765,6687,2777,70.9411,62,0
orz901d,177,1011,218,5981,1725,71.2426,71,0
orz901d,178,1228,739,5572,2460,71.0833,58,0
orz901d,179,3258,699,8254,3290,70.1127,62,0
orz901d,180,989,482,5681,1206,74.3137,72,0
orz901d,181,1373,495,5414,1156,75.1421,72,0
orz901d,182,754,598,4905,1810,73.3137,71,0
orz901d,183,2032,374,5369,1043,72.6274,67,0
orz901d,184,1203,323,4042,589,73.1838,63,0
orz901d,185,553,272,5080,1877,72,73,0
orz901d,186,1811,570,4174,768,73.799,69,0
orz901d,187,1241,565,6993,2000,73.598,63,0
orz901d,188,873,410,6816,2301,73.669,61,0
orz901d,189,2683,712,7283,4312,72.1127,64,0
orz901d,190,1012,575,5995,2812,76.598,66,0
orz901d,191,883,429,3050,1189,78.0711,77,0
orz901d,192,4649,2001,6466,3048,79.2548,67,0
orz901d,193,2709,1470,5361,2776,77.4264,66,0
orz901d,194,502,370,4382,1328,78.4142,79,0
orz901d,195,1572,1013,5156,1764,76.8406,65,0
orz901d,196,2226,832,5454,1668,78.1127,70,0
orz901d,197,2961,809,7235,2759,79.2132,74,0
orz901d,198,1048,323,7313,1921,77.9117,64,0
orz901d,199,1200,337,7415,3006,78.598,68,0
orz901d,200,3423,407,7020,2840,82.2843,75,0
orz901d,201,2333,816,7050,2282,81.5685,66,0
orz901d,202,2838,749,8020,1766,80.2843,73,0
orz901d,203,1530,425,7136,2730,80.7401,66,0
orz901d,204,1499,360,8022,2592,80.8822,62,0
orz901d,205,2096,718,8692,2886,80.468,62,0
orz901d,206,1022,495,3468,1566,83.6274,78,0
orz901d,207,4214,1162,6897,3932,80.5269,72,0
orz901d,208,1549,556,6026,1713,81.1127,73,0
orz901d,209,1493,327,6124,1565,82.9411,74,0
orz901d,210,1816,574,6538,1927,85.9706,82,0
orz901d,211,1694,603,6744,2299,86.0538,68,0
orz901d,212,1278,435,6089,1399,87.598,77,0
orz901d,213,533,444,6171,2122,86.2426,86,0
orz901d,214,1426,199,7566,2040,85.8528,62,0
orz901d,215,2492,729,7473,3244,84.9411,76,0
orz901d,216,897,397,5864,963,85.4853,84,0
orz901d,217,2791,606,7179,2644,84.8112,68,0
orz901d,218,2580,1623,7376,3058,87.9411,79,0
orz901d,219,559,127,5304,679,84.8284,85,0
orz901d,220,1877,686,5494,2558,91.3848,87,0
orz901d,221,2758,805,6017,1762,88.1838,78,0
orz901d,222,1995,592,4640,1125,88.3848,84,0
orz901d,223,634,602,7938,1543,88.2426,88,0
orz901d,224,463,337,4081,1406,88.6569,88,0
orz901d,225,440,333,10305,2565,90.0711,89,0
orz901d,226,991,359,7636,855,90.4853,89,0
orz901d,227,1426,159,6759,1699,90.6102,68,0
orz901d,228,947,551,8305,2436,89.5269,81,0
orz901d,229,2975,1317,5675,2597,88.468,70,0
orz901d,230,2166,616,8510,2958,92.468,74,0
orz901d,231,2631,968,4455,1629,95.5685,80,0
orz901d,232,1650,552,9151,2986,95.9828,80,0
orz901d,233,2325,877,6802,2029,93.1543,78,0
orz901d,234,678,486,7143,2165,93.5563,90,0
orz901d,235,1743,922,5563,2812,92.3848,88,0
orz901d,236,1228,640,8610,2975,92.9706,89,0
orz901d,237,2202,932,8058,2945,93.5391,73,0
orz901d,238,2123,320,6850,1418,92.598,82,0
orz901d,239,2100,494,5497,1843,95.1421,92,0
orz901d,240,4655,983,6718,2334,98.1127,90,0
orz901d,241,3692,750,9983,2436,97.2132,92,0
orz901d,242,1384,346,5929,1468,96.3137,94,0
orz901d,243,1179,278,6095,1454,99.6569,99,0
orz901d,244,2570,621,5901,1928,96.598,86,0
orz901d,245,1473,682,8241,2420,97.6396,80,0
orz901d,246,1712,1258,8779,2624,99.7696,90,0
orz901d,247,1448,502,5536,1634,96.6274,91,0
orz901d,248,2107,743,5661,1529,98.6396,81,0
orz901d,249,1241,359,7910,743,96.0416,90,0
orz901d,250,888,557,6305,1036,102.971,99,0
orz901d,251,1765,602,4063,702,103.61,81,0
orz901d,252,2988,592,10766,2663,103.941,95,0
orz901d,253,1102,526,7061,890,103.77,94,0
orz901d,254,4729,807,9556,3593,103.598,93,0
orz901d,255,1717,805,5527,2107,100.142,97,0
orz901d,256,3726,750,11007,3205,101.669,89,0
orz901d,257,1780,273,5687,917,100.456,94,0
orz901d,258,1672,796,7210,2012,100.113,92,0
orz901d,259,3997,505,6309,1474,101.953,81,0
orz901d,260,1853,808,7049,2783,105.255,93,0
orz901d,261,2467,594,6485,2941,105.355,96,0
orz901d,262,2194,185,10496,2246,104.728,102,0
orz901d,263,1554,496,7014,1361,104.213,99,0
orz901d,264,2034,487,6320,1415,107.698,100,0
orz901d,265,1460,478,4883,1822,106.468,88,0
orz901d,266,2769,762,10718,3305,107.113,99,0
orz901d,267,2688,774,6018,1442,107.799,103,0
orz901d,268,2196,700,9573,2293,106.213,101,0
orz901d,269,1266,545,5683,997,105.485,104,0
orz901d,270,1773,666,9889,2907,109.64,92,0
orz901d,271,2880,521,9961,2231,110.87,104,0
orz901d,272,1307,163,7478,1143,110.556,107,0
orz901d,273,1613,491,7339,1966,109.314,107,0
orz901d,274,1635,425,5865,1809,111.397,95,0
orz901d,275,1565,571,6302,906,109.811,93,0
orz901d,276,1985,826,9699,3211,109.042,103,0
orz901d,277,2679,945,9985,3053,111.51,86,0
orz901d,278,2828,981,6851,1588,110.095,85,0
orz901d,279,4147,783,10083,2407,108.497,95,0
orz901d,280,2050,355,9892,2014,114.314,112,0
orz901d,281,1431,231,8119,651,113.314,111,0
orz901d,282,2519,449,6325,1899,112.569,97,0
orz901d,283,2746,568,6773,1879,113.912,100,0
orz901d,284,1776,850,5304,1470,112.77,103,0
orz901d,285,1908,598,8811,1439,114.213,109,0
orz901d,286,1277,617,6238,2538,112.853,89,0
orz901d,287,1185,581,7287,2070,112.213,107,0
orz901d,288,1229,452,4814,879,112.698,105,0
orz901d,289,1680,448,5316,772,113.225,96,0
orz901d,290,1782,737,9264,2286,119.77,110,0
orz901d,291,1608,527,3397,1495,118.941,110,0
orz901d,292,6126,781,8091,2933,119.912,106,0
orz901d,293,2413,778,6336,1314,117.468,99,0
orz901d,294,3645,138,9460,957,116.853,93,0
orz901d,295,960,406,6874,951,116.728,114,0
orz901d,296,1149,440,4780,1999,118.012,107,0
orz901d,297,2327,360,4580,2365,118.083,105,0
orz901d,298,3415,1063,9846,3762,118.811,102,0
orz901d,299,393,240,12108,2915,117,118,0
orz901d,300,2360,1067,8756,2388,123.983,108,0
orz901d,301,2084,898,7812,2009,123.698,116,0
orz901d,302,1763,715,8000,1286,123.598,113,0
orz901d,303,847,574,6337,1714,120.728,118,0
orz901d,304,3322,759,5333,2414,120.296,101,0
orz901d,305,1414,983,7069,2649,122.799,118,0
orz901d,306,1406,474,6420,729,121.527,113,0
orz901d,307,2444,799,6241,1637,120.309,89,0
orz901d,308,3182,869,9351,3465,120.598,110,0
orz901d,309,2484,1019,10495,1631,122.184,112,0
orz901d,310,3203,531,11667,2196,125.87,119,0
orz901d,311,2444,985,9631,2391,127.799,123,0
orz901d,312,1432,551,6172,2495,127.698,120,0
orz901d,313,1175,509,6338,1296,124.485,123,0
orz901d,314,1985,673,6489,1936,126.782,105,0
orz901d,315,1538,571,6089,1679,127.941,119,0
orz901d,316,1024,909,4734,1317,124.071,123,0
orz901d,317,1412,336,7515,847,125.971,122,0
orz901d,318,1516,453,7116,1681,125.971,122,0
orz901d,319,1102,452,5582,1063,127.527,119,0
orz901d,320,1252,393,5118,2004,128.213,123,0
orz901d,321,2468,523,7731,1184,128.012,117,0
orz901d,322,3395,740,7547,2078,128.799,124,0
orz901d,323,2283,945,5130,2173,130.083,117,0
orz901d,324,2670,672,7039,1607,129.497,116,0
orz901d,325,1190,863,8898,1173,131.971,128,0
orz901d,326,2282,236,9072,1994,128.154,113,0
orz901d,327,760,208,5922,733,129.042,123,0
orz901d,328,1401,385,10574,3259,129.941,121,0
orz901d,329,1533,684,11122,2771,131.497,118,0
orz901d,330,1664,428,6955,1034,132.284,125,0
orz901d,331,2211,388,5246,998,134.054,116,0
orz901d,332,2396,382,5619,1096,132.799,128,0
orz901d,333,1727,500,5682,1364,135.142,132,0
orz901d,334,1826,592,8347,2215,134.941,126,0
orz901d,335,1037,393,10246,1990,134.385,130,0
orz901d,336,2993,1005,8163,2361,132.468,114,0
orz901d,337,1635,657,12956,2356,133.042,127,0
orz901d,338,913,524,6725,1524,134.627,129,0
orz901d,339,4246,344,8915,2385,132.326,118,0
orz901d,340,1310,411,5893,607,138.456,132,0
orz901d,341,1538,517,7946,2259,136.326,122,0
orz901d,342,937,425,5262,1180,137.799,133,0
orz901d,343,2566,668,7768,1898,138.598,128,0
orz901d,344,1826,480,3942,1459,137.539,117,0
orz901d,345,2355,722,6733,2078,136.355,127,0
orz901d,346,2462,528,8426,1667,139.941,131,0
orz901d,347,1394,329,8348,906,137.213,132,0
orz901d,348,1376,369,6861,1194,136.799,132,0
orz901d,349,2768,713,7361,3484,136.012,125,0
orz901d,350,1218,479,8817,2171,141.497,128,0
orz901d,351,1934,359,9254,2484,143.823,115,0
orz901d,352,1243,588,5476,846,143.527,135,0
orz901d,353,2297,645,7883,2239,141.87,135,0
orz901d,354,1570,575,4484,1185,143.539,123,0
orz901d,355,972,374,4094,948,142.527,134,0
orz901d,356,2024,414,5307,1014,142.681,118,0
orz901d,357,1648,371,5709,1160,143.74,129,0
orz901d,358,1150,107,6192,1109,140.213,135,0
orz901d,359,1579,479,7207,1973,142.042,136,0
orz901d,360,1169,404,5544,2324,145.012,134,0
orz901d,361,1478,552,10671,1025,146.213,141,0
orz901d,362,1859,368,7279,1251,147.142,144,0
orz901d,363,2004,264,8163,762,147.953,127,0
orz901d,364,1556,381,6574,1917,147.87,141,0
orz901d,365,1525,322,9604,1278,146.941,138,0
orz901d,366,1039,685,11108,1801,147.598,137,0
orz901d,367,1112,448,8966,1712,144.556,141,0
orz901d,368,3968,426,9277,1509,145.497,132,0
orz901d,369,1165,399,4017,1086,146.083,133,0
orz901d,370,2312,764,7250,865,151.054,133,0
orz901d,371,2011,543,7504,1310,148.184,138,0
orz901d,372,1207,320,8131,1128,149.811,133,0
orz901d,373,1216,354,5966,1545,151.296,132,0
orz901d,374,1394,393,6745,798,151.456,145,0
orz901d,375,1598,487,5468,1246,148.042,142,0
orz901d,376,1513,320,9209,2328,151.953,131,0
orz901d,377,2309,637,8211,2114,149.338,123,0
orz901d,378,1728,271,6576,2242,149.426,138,0
orz901d,379,927,336,5662,1447,148.556,145,0
orz901d,380,1268,774,12549,1362,155.326,141,0
orz901d,381,1493,595,6380,1677,152.456,146,0
