map,r,cnums,size
random-400-33,4,12019,103535
random-400-33,8,4515,103535
random-400-33,16,1566,103535
random-400-33,32,456,103535
random-400-33,64,105,103535
room-100-10,0,8261,8261
room-100-10,2,1745,8261
room-100-10,4,555,8261
room-100-10,8,242,8261
room-100-10,16,67,8261
room-100-10,32,24,8261
room-100-10,64,5,8261
room-400-40,0,152811,152811
room-400-40,2,27480,152811
room-400-40,4,6524,152811
room-400-40,8,2111,152811
room-400-40,16,615,152811
room-400-40,32,190,152811
room-400-40,64,55,152811
w_blightlands,0,14945,14945
w_blightlands,2,2923,14945
w_blightlands,4,744,14945
w_blightlands,8,259,14945
w_blightlands,16,95,14945
w_blightlands,32,39,14945
w_blightlands,64,22,14945
w_bonepit,0,16702,16702
w_bonepit,2,3156,16702
w_bonepit,4,799,16702
w_bonepit,8,265,16702
w_bonepit,16,97,16702
w_bonepit,32,40,16702
w_bonepit,64,25,16702
w_bonepitdestroyed_a3,0,29216,29216
w_bonepitdestroyed_a3,2,5439,29216
w_bonepitdestroyed_a3,4,1315,29216
w_bonepitdestroyed_a3,8,464,29216
w_bonepitdestroyed_a3,16,176,29216
w_bonepitdestroyed_a3,32,91,29216
w_bonepitdestroyed_a3,64,66,29216
w_bonepitmining_a2,0,14469,14469
w_bonepitmining_a2,2,2776,14469
w_bonepitmining_a2,4,714,14469
w_bonepitmining_a2,8,262,14469
w_bonepitmining_a2,16,110,14469
w_bonepitmining_a2,32,65,14469
w_bonepitmining_a2,64,48,14469
w_encounter1,0,6043,6043
w_encounter1,2,1165,6043
w_encounter1,4,300,6043
w_encounter1,8,102,6043
w_encounter1,16,38,6043
w_encounter1,32,17,6043
w_encounter1,64,9,6043
w_encounter2,0,26224,26224
w_encounter2,2,4847,26224
w_encounter2,4,1151,26224
w_encounter2,8,377,26224
w_encounter2,16,121,26224
w_encounter2,32,48,26224
w_encounter2,64,21,26224
w_encounter2_camp,0,25587,25587
w_encounter2_camp,2,4722,25587
w_encounter2_camp,4,1126,25587
w_encounter2_camp,8,354,25587
w_encounter2_camp,16,122,25587
w_encounter2_camp,32,41,25587
w_encounter2_camp,64,17,25587
w_encounter3,0,6337,6337
w_encounter3,2,1256,6337
w_encounter3,4,328,6337
w_encounter3,8,128,6337
w_encounter3,16,42,6337
w_encounter3,32,18,6337
w_encounter3,64,9,6337
w_sundermount,0,41179,41179
w_sundermount,2,7767,41179
w_sundermount,4,1903,41179
w_sundermount,8,655,41179
w_sundermount,16,237,41179
w_sundermount,32,91,41179
w_sundermount,64,46,41179
w_woundedcoast,0,34020,34020
w_woundedcoast,2,6689,34020
w_woundedcoast,4,1767,34020
w_woundedcoast,8,620,34020
w_woundedcoast,16,242,34020
w_woundedcoast,32,115,34020
w_woundedcoast,64,69,34020
