map,i,source,s,h,w,e
orz103d,0,33971,3.72832e+06,277614,11484,594251
orz103d,0,34489,3.72968e+06,278966,44290,593193
orz103d,0,38686,3.48492e+06,317828,11646,592761
orz103d,0,640,3.81713e+06,275488,57973,602436
orz103d,0,35465,3.42917e+06,273996,570,589308
orz103d,0,16042,3.96276e+06,330704,23942,714032
orz103d,0,17965,4.3111e+06,278098,23912,594530
orz103d,0,39078,3.8982e+06,277673,10001,595584
orz103d,0,15887,4.05631e+06,279816,321,611491
orz103d,0,3689,3.94481e+06,276130,470850,594539
orz103d,0,7178,4.13851e+06,279903,15305,593987
orz103d,0,24880,3.78057e+06,278314,1181,591840
orz103d,0,28294,3.68604e+06,295990,10459,592326
orz103d,0,3541,3.97068e+06,274751,13702,660051
orz103d,0,27742,3.83139e+06,273289,3451,614428
orz103d,0,29502,3.81455e+06,278755,233,592984
orz103d,0,20190,3.6352e+06,274144,5972,591628
orz103d,0,36923,3.46082e+06,270707,22912,590628
orz103d,0,3488,3.86577e+06,275808,10145,590086
orz103d,0,24333,3.65061e+06,274467,26180,597214
orz103d,0,4915,3.95624e+06,327797,13877,593258
orz103d,0,15947,3.85334e+06,275419,28594,671248
orz103d,0,2412,3.86225e+06,261580,19258,641452
orz103d,0,35948,3.34037e+06,262505,367,628903
orz103d,0,30816,3.37163e+06,269877,24888,628287
orz103d,0,17133,3.42807e+06,265089,280763,691137
orz103d,0,16713,3.61626e+06,262353,52395,587860
orz103d,0,26882,3.31859e+06,290582,2139,605759
orz103d,0,3266,4.18051e+06,265231,17606,590548
orz103d,0,18852,3.2703e+06,302198,45014,679238
orz103d,0,34799,3.4177e+06,270904,375,588410
orz103d,0,37049,3.18675e+06,284035,83551,586277
orz103d,0,39501,4.59982e+06,283637,16216,634050
orz103d,0,31991,4.69388e+06,319510,24652,704609
orz103d,0,31701,4.3599e+06,272315,17035,606092
orz103d,0,12996,5.34786e+06,580530,56388,1.01728e+06
orz103d,0,28572,5.14868e+06,288602,14874,652821
orz103d,0,26866,3.76449e+06,304691,422,629589
orz103d,0,18100,4.25766e+06,283743,9289,651917
orz103d,0,29711,4.9118e+06,286807,33713,631786
orz103d,0,5016,5.51521e+06,350553,21022,862987
orz103d,0,1630,4.70367e+06,434139,148547,938433
orz103d,0,921,5.81294e+06,300359,56884,631883
orz103d,0,8254,4.94418e+06,283092,7680,679413
orz103d,0,34509,4.55777e+06,309312,38862,627149
orz103d,0,2453,4.482e+06,308144,21096,873842
orz103d,0,13843,4.58581e+06,282164,30428,717718
orz103d,0,4882,4.49219e+06,284951,14557,786293
orz103d,0,34014,4.03794e+06,292878,21123,637128
orz103d,0,26455,4.09362e+06,285491,1067,793278
orz103d,0,40137,3.98763e+06,350955,14094,633279
orz103d,0,17553,3.74924e+06,279703,416,652045
orz103d,0,4944,4.46692e+06,299803,9376,629760
orz103d,0,30438,4.04563e+06,284255,8353,666630
orz103d,0,8288,4.22453e+06,281321,23362,726802
orz103d,0,5123,4.06313e+06,282200,13642,628919
orz103d,0,18564,3.76218e+06,299538,18798,651060
orz103d,0,1683,4.23226e+06,282453,79651,629772
orz103d,0,37281,3.91912e+06,283736,130215,750801
orz103d,0,8785,3.92241e+06,411409,21701,757066
orz103d,0,20540,4.54531e+06,285619,358,799600
orz103d,0,1809,4.50866e+06,282795,321789,629496
orz103d,0,34890,4.20513e+06,285563,10910,620916
orz103d,0,23988,3.69591e+06,281563,20400,621696
orz103d,0,36174,3.36437e+06,283420,72253,625825
orz103d,0,7432,4.04645e+06,281827,15849,625615
