map,hLevel,pure,bytes
lgt600d,0,0,1631304
den005d,0,0,752600
lak300d,0,0,765868
lak307d,0,1,1573108
AR0700SR,0,0,23301596
orz101d,3,1,77508
den502d,3,1,1900572
den401d,0,1,1634980
orz302d,0,0,197752
ost003d,0,0,790200
FireWalker,0,1,63569808
lak105d,3,1,16432
den407d,3,0,25024
brc300d,0,0,172424
hrt000d,3,1,10955312
ost000a,0,1,44144052
lak109d,0,0,9380
lak100c,0,1,7884732
lak505d,0,1,3846404
den505d,0,0,1335372
lgt300d,0,0,2912424
arena,0,0,99208
den001d,3,1,606956
lak104d,0,0,38968
den201d,0,0,19088
ost101d,3,0,94492
rmtst03,0,0,370772
lak513d,3,1,2810852
orz200d,3,0,164860
lak308d,0,1,1661572
lak202d,3,0,177800
orz106d,0,0,12120
orz703d,3,1,4645076
orz901d,3,1,1772708
lgt602d,3,1,2533016
lak506d,3,0,504640
den203d,0,1,248628
den206d,3,1,227096
den400d,0,0,2579340
lak511d,0,0,2440824
rmtst03,3,1,282188
brc501d,0,0,10010700
ost004d,3,0,118348
ost002d,3,1,625380
den520d,3,1,1541232
lak307d,3,0,128240
ost101d,0,1,619188
lak403d,0,1,9252576
AR0044SR,3,0,9144724
den012d,3,1,2088808
lak403d,3,0,925052
brc502d,3,1,222848
lak526d,3,0,29256
lak100d,0,1,8633920
den404d,3,1,8768
hrt000d,0,0,11435556
orz101d,3,0,62708
lak519d,0,1,5969448
lak103d,3,0,25876
lak201d,0,1,1860588
den206d,3,0,187720
lak302d,3,1,966036
brc203d,0,1,3329568
brc300d,3,1,143776
oth001d,0,0,1720980
ost000t,3,0,7957616
den012d,3,0,1331756
lak100n,0,1,7414380
den502d,3,0,3075744
